Q,A
동네 새마을금고라도 털어야하나?,빠르게 버는 법은 있어도 쉬운 건 없다
내일 실강인가?,삭제된 댓글입니다.
답안 외워서 가야 하는 거겠제..?😢,어려워…? 나 아직 시작 안했는데
토익 880이면 충분한가?,학사편입이냐 취업이냐 고민..
과제하다가 진짜 아무리봐도 뒤지게 모르겠으면 어떻게 해 너네들은...?,뭔 과제?
궁그메..그리고 옷도 그냥 줌?,옷주고 지금 이벤트중이라 달에 8만원
지금 조금 소음 있는거 밖에서 시끄러운거야?,맨날 같은 놈이 소음 내는것 같음 왜저러는 거임 도대체
이번에 학원 다닐건데 온라인으로 수강신청하고 가서 그냥 수업 들으면 되는건가요? 교재랑 유인물같은건 어떻게 받나요?답변 부탁드려요~,수강신청 하시고 첫 날에 가면 수강증 받고 수업 들어가시면 되고 교재는 사셔야합니당
주변에 같이 산책할 사람있니..?잡생각 때문에 잠을 못 자겠네..,학교 근처면 산책 좋은데
내가 근로학생이라 6시에 문을 닫는데 6시에 문을 닫으려면 사람들을 50분정도에 내보내거든? 왜냐면 50분에 나가라하면 5분정도 걸리고 5분은 마감하고? 근데 밑에 보니까 아니라는 사람도 꽤 있는데 나는 6시까지만 한 돈을 받는건데 저런 사람이 6시에 짐을 싸면 난 적어도 6시10분에 나가고 난 그에대한 돈도 못받는건데 뭐가 맞아? 내가 잘못 이해한건가?,근로 어케 했누
취업사진 찍으신 분들 어디서 찍으셨나요 ?추천 좀 해주세요 !!,저 둔산동에서 찍었어요
오늘 일을 말해줄께내가 아파트독서실에 다니는중이야잠시 다른데 다녀와서 58분에 왔는데관리사무소 직원분이 다른데 가려다가 나 오는거 보고 오셔서 살짝 머라고하는투로 말씀하시는 거야10분전에 소독해야한다 시간걸린다 등등결론은 10분전에 나가라는거겠지?듣고 있자니 나도 좀 짜증이나는거야 어쨌던 이용 시간은 지나지 않았으니깐그래서 지금 저한테 뭐라고하시는거냐고 그랬어암튼 일하는 사람은 잠구고 바로 가고싶은 마음도 이해는 하겠는데 이용시간은 정각이니깐 이용자한테 맞춰서 소독을 하거나 문을 닫으러오려면 정각에 와야한다고 보거든?너네생각은어때?10분전에 나가는게 매너라고 보니?,정각에 나가도 상관없지만 나름의 매너로 좀 일찍나가주는것도 좋을듯
식당이나 학식먹으러가기 너무 귀찮고 먼데대충 허기만 채울만한 방법이 없을까용,빵
s8동 211호 맞지?,ㅇㅇ
원자번호 24인 Cr 의 전자배치는1번인거같은데 책에는 2번이라고 나와있어서 이유아는사람?,쪽지할게
첫날 수업 어떻게 진행하셨어?,책 보고 수업하심
초보가 치기에 괜찮은 기타 뭐 있음일단 헥스 고퍼우드 데임 셋중에서 고를려고 하는데 뭐가 좋을까?,내거 사줘 크래프터 아류모델 애슐랜드 헐값에팔게
가격이라던가 뭐 편리성이라던가해서본인이 생각하는 제일 좋은곳 알려주실수있을까요?다들그렇겠지만 백장단위로 해야해서공유부탁드립니다!,걍 다 비슷비슷한데. 100장단위면 한밭복사나 현무복사 가셔요
범위가 너무 미쳤는데???,저는 다 전위만 적고 나올까 생각 중
파나요?,오 지금도 하나
배고파유ㅠㅠ,배민켜
학교근처 분식집있나?,지금은 닫음 아 근데 나도 먹고싶다
혹시 인사관리 7주차 과제 5-21부터 5-23까지 해당되는 사람 중에서 푼사람 있나요?,23 풀었니
4과목이 공지 안 나옴 ;;;;,이번주수업시간때 말씀하시겠죠
기계재료 솔루션 필요한 사람?,저요..
너희 술게임은아니?,안녕클레오파트라
시간 어떻게들 때우시나,걍 택시탐
승인까지 됐는데 아직까지 강의목록에서 안사라진 사람들 있어??,나도그랭
학교 뭔 행사있어?,저녁에 원래 방송국에서 틀어줌 아나운서도 잇뜸 그거 아닝가?
수강철회 교수님께 메일로 문의드려서 철회 알겠다고 답하셨는데 왜 아직도  통합학사에는 신청으로만 되있는거야? 이러면 수강철회 안되는거임???? 하....,확인하기 귀찮거나 까먹엇
만약 1시50분까지 수업하면 1시50분에 딱 끝내주시나요??,보통 좀 짧게 수업해주시는경우가 많았는데 교바교라 모름
인 사람?ㅋㅋㅋ내가볼땐 가장 나은 조합인듯,ㅎㅇ
B까지가 몇퍼센트인가요??,70
제발 로아하는 룸메,어림도없지
시험날 대면을 할까요 반반 대면 비대면할까요 비대면을 할까요라고 하시고 ㅠㅠ 제발 비대면한다고 공지 해주세요,메일왔던데
과제 다 풀어야함?,ㅇㅈㅅ ㅅㅂㄴ
첫대면 어땠니 생각했던 캠퍼스라이프야? ㅋㅋㅋ,ㅋㅋㅋㅋ
배극윤 품질경영기사 강의 같이 들으실분있나여?,제발요 너무 비싸요~~
강의들으러 노트북 들고 갈건데 책상 근처에 콘센트 있음?,1층 창가쪽 자리에 콘센트있어요
10시에 줌 들어가는거 출석 포함인가요?? 한번 못들어 갔었는데,조말론 교수님
중간 이후로 매주 쪽지시험같은거 본다더니 왜 무소식이지,갑자기 한번에 막 내시지만 않았으면 좋겠는데..진짜
ㅇㅇ? 난 각각 이노시스랑 아브렐임..,삭제된 댓글입니다.
나 100점만점으로 뜨는데 너네 몇점임?,부럽다..
대면 강의실 안 알려주시나요?,대면이라고요?
좀 색다르게 코디해보고싶은데 끼는사람은 다 잘어울리고 별로 없어서 관종같기도 하고…ㅠ 어때 ㅠ,비니는 요즘 많이 쓰던데
미적1 상대평가일때 과제다하고 반타작하면 학점 뭐나와요??,b쁠 정도 나올듯여 미적은 사실상 말이 상대평가지 거의 절대평가라 과재 출석 다해고 중간 기말 평균 20점 안팎이면 f임
저렴 ㅇㄷ?,밭대근처에서는 머리 건들지마
그냥 단기알바여도 15시간 이상 찍으면 주는 거임?,ㅇㅇ 근데 15시간일하면 3시간치밖에더안줌
100점임 그래서?,나는 7점으로 나오는데 만점 20점 아니야?
zoom도메인 sso로그인하면 도메인이 한밭이 아닌데어떻게 해야할가요?..,사이버한밭에 나왔있어
장소 어디야??,내일 아니야?
무신사거든..?이미 회수한다꼬 가져갔는데다시 취소신청해버리면 다시 갖다주시는거얌..?누구 해본 사람...,다시 시켜야됨. 그냥환불
유산소 -> 타바타?,닥전
내일 시험보는거 6주차강의 삭제된거야….???? 나 다시들어야되는데…??????,아니그니까... 그래서 30분전에 메일보내놓긴 했는데 아직 안보셔 ㅠㅠㅠ
줌 아이디 비밀번호 기억이 안나서 찾아야 하는데..어떻게 찾지??ㅠ,유튜브에 나온대로 했으면 유튜브 다시봐봐
그래서 재무회계학개론 ㅂㅅㅎ교수님은 대면수업한다는건가?,ㄹㅇ....근데 강의실은 안 알려주심...
시험 이번주 수요일 2시 맞지?강의실은 아직 공지 안됐지?? 당일날 문자로 알려주시려나,몇 분반인데
터미널 바로 앞에 있는 정거장에서 타면 학교 가는 거야?103번인가... 103번 말고 다른 번호도 있어? 이번에 처음 가서 잘 모름,103조금 걸으면 102 113도있음
몇동이야...?,삭제된 댓글입니다.
원래 시장 없어? 여기온지 일년이 정도인데도 시장을 못 본거 같아,많아..
과목이 완전히 사라진거면 철회된 거 맞지?? 사이버한밭에는 아직 있어!,?? 와 난 왜 안없어짐
원래 사람이 이렇게 많나요…? 첨 먹어보려구 했는데 줄 길이 때문에 놀라서 나왓네요😮,일찍가거나 마감할때 가야 좀 적어요.. 저도 먹으려다가 너무 길어서 다른식당갔네요
학사공지,어제올라온거일걸
파는곳 있니..? 하 2시시험인데 집에 두고와버렸네요 ㅜㅠ,에타에 조금만 쳐봐도 나올텐데
오늘 대면인건가요? 강의도 안 올라와 있어서; 공지도 없고..,2시에 올라오지 않을까요?
왜 난 데이터말고 아무것도 안되냐?,데이터만 되고 와이파이랑 컴터 인터넷 다 안되네요..
고정 ip 안되길래 그냥 썼는데 왜 안돼징 kt 터진거랑 관련 앖지 않나,kt망을 쓰니까 안되는거지..
얼마나 많은 컴퓨터나 장비를 감염시켜서 공격해야 대한민국 3대 통신사중 하나인 kt서버를 폭파시킬 수 있을까?,그와중에 kt사장 ai신사업 발표중이었는데 ㅋㅋㅋㅋㅋㅋ
궁금..기대..ㅋㅋㅋ,??? : 오후 1시 40분 복구완료했습니다 ^^*
붓펜아이라이너 뭐가 좋아?? 다들 뭐써?? 지속력이랑 번짐이 좋았으면 좋겠어!,요즘 앵간한 아이라이너 다 좋아서 걍 싼거 씀 난 머지써
별지랄 다했는데 kt때문이란거 방금알아서 너무 허무하다 진짜 개빡치네 ㅜㅜㅜ 이거 언제복구됨?,ㄴㄷ 전선 뽑고 다시꽂고 돌리고 별짓을 다했는데 개허무
ㅈㅂㅎ 교수님 대면 맞는 거지...? 가야 되는 거지....?,ㅇㅇ
집 와이파이 지금도 안되는거 정상? 데이터는 돼,ㅇㅇ 유선은 되는데가있고 안되는데가 있고한듯 무선은 거의다되고
머리 오지게 빠지는 게 맞제?,두피자극받으니까 가능성은 있을걸
오늘 갑자기 대면선언해 버리시네 하,그냥 4번 빠져서 F받고 나중에 재수강 ㄱ
이것도 안되네 뭐임??,삭제된 댓글입니다.
10분 지났으니까 오늘 수업끝인거지???,끝인듯
나만안됨?,나도 안돼
주진철 교수님오늘 시험이냐? 몇시 시작인지 아는 사럼..,그니까 말해줬어??
개빠른데 갑자기 ㅋㅋ,복구됬음?
이거 어때?,저번학기때 한번 들었었는데 신청하면 톡이나 메일로 독서활동지 파일을 보내줘 그럼 활동지쓴걸로 돌아가면서 사람들이랑 얘기하는 시간인데 나름 편안하고 재밌었어!
ㅇㄱㅂ교수님꺼 휴강인가요?,네네. 수업불가능할것같다고 나중에 보강하자고 하셨대요
얘들아 교수님 돌아오셨어 빨리 돌아와... 살아있는 거 맞지?,12시에추후공지해주신대
kt는 아직 안됨?,출석인정 안 되는거아냐
아직 복구 안된거 맞지?,엉
수업끝난고야..????알려줘ㅠㅠㅠㅠ,조교님한테 물어봐
비대면의 단점...인터넷...진행시켜...,왜 kt한테만 본보기냐고 ㅋㅋ
계속 오류떠,나도 안들어가져 ㅠ
심리분석 수업 하고 있나....?,ㄴㄴ
나만 안되는거임? 미치겠네ㅋㅋㅋㅋ,나두
와이파이나감? 왜 인터넷이 끊겼다 그러지,헐 나도
모야??끝난거야???알려줘...,이러닝 터져서 수업 다 끊긴듯
대면임?? 알려 주라주라 주라 주라,아직 공지없슴
부분점수 있을까?,ㅈ댓다
시험보고 와서 현재 11시이고 2시에 강의 들어야하는 상황. 1 집갔다 온다2 학교에서 뻐긴다.,수통골 함 오르고오면 딱!
상대평가에 보통 학점 2.75 넘으려면 얼마나 해야되나요? 중간은 거의 포기했고 출석이랑 과제는 다했어요,국장때문에?
"건강문제 때문에 싸왔는데, 점심을 어디서 먹어???",학식 먹는 곳에서?
이거 어디 볼펜인지 아는 사람.?.?? 너무 좋은디 knock knock 0.5 찾으니까 안나오넹 ㅠ,다이소에 팜
줌수업 나만 시작 안되는거야…?,저도요...
행복회로라더니 팩트였죠?ㅋㅋ,ㅊㅊ나도 실험과목빼곤 없어~
장소 이거 맞지 않아??,시험보러감??
105 아님?,삭제된 댓글입니다.
과제란에 없는데,유상운 교수님?
오늘 대면 맞는거지?,그니까 학교 가고는 있는데
나만 좀 셀레?,셀레스티아
거기 usb 꼭 가져가야되나요??아님 메일로 보내놓아도 되나요?,24시 프린터 카페 말하는거면 메일로 보내도 돼요!
언제양??,10시
남은 계약기간이 애매해서 월세 반 받고 남은기간 드릴게요살아보시고 집주인분이랑 재계약 하던가 다른방 구하셔도 될 것 같아요위치는 맘스터치 주변입니다!,남은기간이 얼만가요?
인쇄되는곳 있음?먼곳서 오는데 보니까 프린트해온게 다 젖어있어서..음료수 흘린듯ㅠ,1리터 옆에 프린트카페도 있고 장문쪽 gs도 되고 남문근처에 복사집도 두개정음
집이 멀어서 통학할 때 버스를 오래타거든근데 멀미가 심해서 힘들더라 폰 안보고 약 먹고 그래도 심해서... 아니면 효과 쎈 멀미약 뭐 없나. 그냥 약국가면 주는거 대충 마셨었거든,귀미테
애케플 가입할까? 보호필름만 붙일예정,7이면 가입함
하루컷 ㄱㄴ하냐??,ㅆㄱㄴ
점심먹을곳 추천해주실수있나요?,봉스키친 혼밥실록
그냥 원기옥 모아서 치킨이나 시켜먹을까,사세 버팔로윙 강추 덕분에 한동안 치킨 안 먹고 돈 아꼈음 존맛이야
계좌이체도 가능한가요?,다섯시 전에도 계시던데?
일단 이번주는 공지 없으니까 비대면 맞지?,그치?
나는 승인은 해주셨는데 확정이 안났네.. 따로 전화드려야된ㅏ,승인 됐는데 사밭에선 안 사라지네 난 사회봉산데 ㅠ.ㅠ 뭐 어디다 전화해야하나..
네이비 vs 브라운뭐가 더 나아?,1. 네이비
간지럽다,가자 잠못자면 그게 더 힘들어
카페 있나요??,삭제된 댓글입니다.
다들 연습문제 풀고 계시나요..?ㅠㅠ,준내 어려워서 손도 못대겠음요
저번에 삼다수 빼고 다 무슨 물질 발견됐다고 했던거같기도 하고 기억이 안나네,닥 삼다수
"중간 개씸 망하고 기말때 어느정도 하고 출석 , 과제 다하면 시플은 나올까요..?",그게 망한거 아닌가요?
사놓고 안쓰는 mlb모자만 몇개야...아깝다,나도 모자 쓰고 싶은데 진짜 안어울림 ㅠ
사이즈는 L고1학년때만 입었어서 실사용5번? 정도야,얼마에요
뭘로 하시나요 그냥 책상에 폰 꺼내놓기?,녹음안함
그냥 사람없으면 들어가서 이용해도 되나요? 방음부스 또 있는 건물있나요,방음부스는 뭐하는 곳이에요?
경영통계학 ㅅㅈㄱ교수님 주관식이야??어떤식으로 나오는지 알아???ㅠㅠㅠㅠ알려주라유ㅠㅠ,삭제된 댓글입니다.
아직 공지 없는데 백퍼 대면할라나,ㄴ
신청한 사람 있어?,남자?
안검하수라 병원 진단서까지 있어요 무려 !!보험가능!!명안과 빼고 추천받아요,서울에서 하시는거 추천드려요
요새 뭐 입고 다녀??옷을 뭐 입고 다녀야할지 모르겠다ㅠㅠ,담요 둘둘 말고 계시던데
데베 ㅇㅇㅇ 교수님 중간고사 장소랑 시험범위 아직 안알려준거맞지…?,ㅇㅇ..
학교 주변에 공학용 계산기 살만한 곳 있나요??,다이소
입문용 재즈 베이스 뭐가 괜찮나요?,데임?
언제까지얌 ??,열시
이메일로 질문 보낼까하다가 쪽지가 더 질문하기 편할 거 같아서. 근데 한 번도 쪽지 안 보내봐서 확인하실지 모르겠어. 이메일이 더 나은가?,나는 확인하셨어
강의실 405호 맞나.?,삭제된 댓글입니다.
6주차 워크시트 좀 찍어줄 사람 ㅜㅜ... 있을까??,진로설계 2 아님3?
혹시 물리2 황인섭 교수님 듣는 사람있어??? 좀 도와주라ㅠㅠ,나
영상으로 제출임? 사진으로 제출임?,그니깐… 사진 촬영이랬다가 영상이랬다가.. 교수님한테 물어봐야겠다
교수님이 올린 자료만으로도 할수 잇을까?,ㅇㅇ ㅆㄱㄴ
설거지론이 진짜 뭐야? 아니 글 쭉 내리는데 불타기만 하고 설거지론이 뭔지 말을 하는 사람이 없음,주식할때 설거지하고 오면된다는거 아님..?
중간고사 보는 강의실 공지 아직 안 된 거죠..??,넴 아마 나중에 문자로 공지올듯
휴학생도 휴학기간에 유닛 부여받을 수 있나요?,ㄴㄴ
원래 맞기 전엔 아픈지 모르긴 함ㅋㅋㅋ나도 입학 전엔 대학교 판타지 있긴 했었다..이틀만에 깨졌지만ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 옷고민 귀엽네,"비대면이 그리워 질거야... 수업 다들으면 인정한다... 자는사람 반, 도중에 나가는 사람 반, 폰하는 사람 반..."
김현우 교수님 저번 줌 수업에서 중간고사 안내해주셨는데녹강에서 안내해주신 내용에 추가해서 말씀해주신 거 있나요 !!!? ㅠㅠ 제가 줌을 못 들어가서 쪽지로 말씀해주시면 보답하겠습니다!,족보는 받았는데 나도 일정은 모르겠네
지금까지 교안으로 쉅 들었는데 대면 하면 교재 사야겟쥬..?,ㄴㄴㄴㄴㄴㄴㄴ
비정상상태에서는 확산선속을 못구해? 아님 의미없어서 안구하는거야?,구하기 어려운거아님? 정상상태는 일정하잖아
2차 접종이 월욜인데 월욜 수업이 대면이야 ㅠㅠ 이거 공결처리 가능한거야??,ㅇㅇㅇ
서울거지라는 뜻임?,^1557^
2인실 쓰는데 이동 ㄱㄴ? 추금 내고,ㄴㄴ 자리다찼ㅇ음
다음달부터 헬스장 예지관 다 24시간한다는거지?,코로나 이전으로 돌아가는 거지
설거지 같이 하면 안돼?,우리집 설거지나 해줘
나를 배신하지 않아,형...찐따같애...혹시...배개...남는거...있어...?
서술형이라서 인터넷 봐 봤자인데.. 그래도 혹시몰라서..,그건 교수님한테 물어봐야지
저출산 관련으로 틀딱 내복주 사면 되냐?,달러사야지 왜 원화사? 캌ㅋㅋㅋ
7주차 교안에서 나오는거야??,그렇다는데 막막하네 ㅋㅋㅋ
10년뒤 대한민국은 어떤 모습일까?,10년뒤에도 대한민국이 살아잇노 ㅋㅋ
무슨 왈왈소리를 하고 있는지 모르겠다 개추 ㄱㄱ 비정상인들끼리 싸우는 거 맞지?,"1, 국자에 설탕을 3스푼 정도 적다량 붓기2. 불에 올려 녹이기 ;계속 젓가락으로 저어줍니다.3. 투명하게 놓으면 소다 조금 넣고(많이 넣으면 써요) 막 저어줍니다..4. 부풀어 오르면 미리 판같은 곳에 기름 약간 말랐다가 그위에 쏱기5. 넙적한 용기로 누르기 입니다."
서울대는 찐따집합소인가,이분들은 진짜 설거지하게 생겼으니까 그런듯 ㅋㅋ
댓좀ㅠㅠ,나
ㅋㅋㅋ 다티나 여자들은 ㄱㄹ 많고 순진한 남자들이 불쌍하고 그래?? 제발 좀 인터넷에서 기어나와서 살아라. 주변 연애 잘만 하고 사는 여자애들 이상한 시선으로 보는 네가 이상한거고 ㅜ 연애는 여자 혼자해??,주변 연애 잘만하는 여자들은 해당사항 없는데요
니들이 설거지를 할 수나 있음..?설거지 할 능력되면 걍 결혼하지마~ 그럼 설거지 안해주는거잖아뭔 걱정이 그렇게 많음??그럴거면 걍 혼자살아~,여기 걱정하는 사람 없음
거북이가 큰놈이랑 작은놈이 있는데 큰놈이 자꾸 작은놈 앞에 가서 앞발을 부르르 떨면서 공격하는거 같은데 이거 머시얌..? 아는 사람 있어..? 둘이 같이 10년 살았는데 갑자기 싸우는건가..?,보여져
?? 다들 설거지론 얘기하네,그릇을 물에 담궈서 불린다 퐁퐁으로 수세미질해서 설거지를 한다 끝
역사와문화 ㄱㅁㅈ교수님 수업 이번주부터 올 영상강의 인가요?,그렇긴 한데... 이번에 대면으로 바뀔수도 있으니 함 지켜 봐야지
그럼 여자입장에서는 남자가 여자 만난건 상관 없고? 뭔 개소리를 논리적인척 하고있어 나 남자고 패미 싫어하는데 이건 좀 아닌듯 남자들아 니네는 여자랑 어캐 함 해보려고 빌빌 기잖아 내로남불이 ㅈ나게 역겹다 ㅅ~발람들아,나남자고=여자
지금 창문이랑 방충망 사이 공간에 장수말벌 있어서 말벌 나가지도 못하고 문 열면 바로 나한테 들어올 각이라 가지고 지금 이도저도 못하고 있다,어떻게 들어왔는지도 모르겠다
어카냐? ㄹㅇ;,데미지0인거 웃기네ㅋㅋ
10시 시작해서 언제 끝나는지 아는사람 있어? ㅠㅠ,"통학러라 끝나는 시간을 알아야되는데,,공지에 안보이는 것 같아서"
1. MSDS2. 공장사고사례3. 1장 연습문제4. 3장  연습문제이렇게 맞나요?,네
저번주 수업에서 중간고사 시험 공지 생각나는 사람있어? 내가 메모를 안해놔서ㅠ 6개는 많다고 1~3과 어쩌구하면서 5개만 외우라고 한거같은데 설명해줄 천사 구해....,각 과 모두 포함해서 4개 외우고 3개 시험!
배그 게임대회 나갈사람? 지금 사람 2명구하고 있음!,못해도돼?
색저항 값이 30인데요 전압이 0.5V 전류가 15.0A가 나와서 저항값이 0.033 이렇게 나오는데 어떻게 해야하나요?,색깔이 뭐에요
설거지론이 모야?? 퐁퐁이족은 뭐고??,검색 ㄱ
분량 몇 장 정도 나와??,나도 3쪽쯤 근데 4번 뭔 개소리인지 모르겠음 ㅠ
"""그럼,,, 자네가,,, 그동안 남친을 '똥차', '벤츠'라고 사물화했던 건 말이 되구,,,,,??""",삭제된 댓글입니다.
낼 2차 맞으러 가는데 부작용 심하나요?1차때는 맞은 당일만 피곤한거 빼고 별로 없었습니다.모더나 2차 맞으신 분들 후기좀 알려주세요...(장난치지 말아주세요ㅠ 부탁드립니다!),사바사임ㅠㅠ
과제 다한 분? 질문할 게 있어서..,삭제된 댓글입니다.
인당 2~2.5만원 정도로 룸에서 먹을수있는곳 있어...?입은 짧으신편이야,한정식이나 편백찜
난이도 어땠나요 다들??,그냥 개쉬웠는데
캐리어 하나론 부족하겠죠? 이불 겨울옷 땜에..,아무래도 그렇죠
?? 1차부작용 심해서 2차 안맞은사람이라든지 기저질환이라든지 아니면 다른이유가있나해서,정말정말 죽을까봐 무서워서 안맞다가 얼마전에 대면+가족 등살에 밀려 맞음 ㅠ
여명고르면 욕함?,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 오
현장실습 신청할때 기업쪽에서 우리학교로 신청해야 학생이랑 매칭되는건가요?아니면 학생이 아무기업이나 찾아서 신청하는건가요?,"우리학과는 학생이 기업을 찾던데,, 다른학과도 그런가요?"
7주차 수업까지 인거같은데 맞나요?,배운 범위까지
밭대 주변 알바 공고는 보통 어디게시판에 올라오나요?,알바몬
표절할 경우 0점 처리랬는데 출처 밝히고 교수님 ppt자료 그대로 쓰는 것도 안돼나???,가능함
기타보다 배우기 어려움?,리듬타는게 어려울껄
나만 존나 어렵냐내가 이런 내용을 배웠다고....?1번부터 막혔는데 내가 진짜 이걸 배웠다고...?,그거 우리 범위랑 좀 다르지 않음?
아이폰은 그런것같은데 갤럭시는 어때?,"자급제 + 알뜰요금이 3,4년 쓸거같으면 이득인데 2년에 한번씩 폰 바꿀꺼면 약정잡고 사는게 이득임 알뜰요금도 요금 나름이라"
아파요?,하루이틀 아플확률 높음
리싸수은 신이고 암드주식은 무?적이야,먼데 무슨일인데?!
런닝할 만한 곳이 있을까요?운동장 도는건 좀 재미가 없어서…,삭제된 댓글입니다.
박주일교수님 시험 대면인가??,나도 궁금해
후리스 어떤게 이뻐?,roka
항상 들어갈때마다 안들어가짐노트북 폰 아이패드 다 안됨,삭제된 댓글입니다.
맞아요?? 이종광교수님,삭제된 댓글입니다.
결론난거야?,모르겠음 ㅠ ㄹㅇ
새로사야하는데 고민이네...,걍 난 긴거입을래.. 입어보니까 롱이따뜻해서 좋더라...(≖ω≖)ω≖)
이거 걍 상온에 놔도 돼 아님 냉장고에 넣어둬야돼?,냉장고
뉴에라 볼캡샀는데 챙에 붙어있는 스티커 떼?? 안떼는 사람 본거 같긴한데,스티커떼는거아닙니다 사실상스티커가 본체에요
내일 일요일(24일) 밤 23시59분까지맞음?23(토)~24(일)넘어가는 밤 12시는 아니겠지?,25일넘어가기전까지
BCAA 레몬맛  먹는데 원래 맛이 드릅게 없나요?,그정도면 무맛보다는 맛있는 겁니다 허허
공지가 아직까지도 없는데 대면한다는거 자체가 말이안댐;; 하여간 물타기,ㄴㄴ 대면은 맞는데 이야기가 너무 부풀어오름그냥 대면 확대 느낌 전면 대면이 아니라
도서관 책 빌릴 수 있나요?,넹
어차피 강의 듣다가 끝나면 바로 나가는데 친구는 어떻게 만드는거임? 대면해도 친구 한명도 없을까봐 겁난다,그니까 나도 궁금함...
알면 씹덕이야?,그건 초중딩 음악시간에도 많이 틀어주지않았나. 나도 종종 생각나면 흥얼거리곤하는데
타고 싶은데 대전에 자전거 탈만한데 어디야?,삭제된 댓글입니다.
온돌로 놔야지 방 따듯해지는건가요?,우리집은 따뜻해짐
ㄱㄱㄹ교수님 거 시험 문제 어떤 식으로나오나요? 혹시 아시는 분 있으신가요..🥺,고고륑~
경영통계 월요일 2시 대면시험 장소가 어디야??,S3동 511호 아니었나
옷 수선집있나요?,덕명중쪽에 수선집있어요
담주에 전공 하나 있네ㅠㅠ시험 끝나면 과제랑 중간평가 해야되는데놀고 싶다ㅠㅠ,담주에 2개에 대체과제 1개있음~~
나 왕따라 같이 해줄 사람 있어??,닌텐도 스위치
띄어쓰기 포함인가요??,우린 미포함
근데 대면해도 배정받은 강의실  20명도 겨우 들어가는 공간이던데. 이걸 40명 넘는 인원이 다 들어갈수가 있나...?,거리두기 무시 한다는 마인드
온다고 미리 알려주지?,난 안알려주심
n7동 랩에 계신분..?저희만 인터넷 안되나요?,주말동안 노후케이블 교체한다고 인터넷 중단된다고 공문 내려왔어요
2번에 문자열 확인하는거 기억안나는거 빼고 나머지는 다 푼듯 시험 난이도 어땠음?,생각보다 쉬웠음
기말 아무리 잘 봐도 D나 F인가요?진짜 아무것도 못하고 나올 것 같아서...,비율에 따라다름
전문대에서 편입했는데 여름에도 뜨신물 나왔는데지금 날씨에 손 얼어 죽겠는디,지잡대에 많은걸바라시네요
다들 좀 쉬웠다하는 반응이 좀 있던데 총점 70점 중에 한 잘하면 30점대 나올것같은데 이정도면 잘본거일까?,평균
니들은 학교랑 멀으니깐?개이기적임 ㅇㅇ친해지기 ㅈ같은 스타일,아싸 친구들 모두다 손절~!
중고차 사려고 하는데 lf소나타 어떰?,가성비 좋음
과제다한사람?,얍
나 친구들이랑 하고 있는데 빠질거라서 이번달은 돈 내서 그냥 봐도 되고 다음 달부터 매월 1일에 입금 하면 돼 할 사람 있어 ?,나!!!
너네 레포트 글씨크기 뭐로 하니1213??????,당연히 13이지 왜 12로해ㅋㅋㅋ
맨날 홍대서 사람들이랑 그림그리고 햇는데 긱사오니까 봉인당함,드로잉카페 가보는거 어때?
모더나이고 1차때는 하나도 안아팠음 아까 2차맞고왔는데 좀 쫄리네,삭제된 댓글입니다.
한 과목이 매주 대면이고 다른 두 과목은 격주로 대면이에요 통학은 왕복 4시간 걸리는데 뭐가 나을까요? (세 과목 요일 모두 달라요),자취가 나을거같은데 방 금방 구할수있나?
토론대회 필수 아니지?,ㅇㅇ
어떤걸 메일로 질문하고 답변받고서감사합니다 알겠습니다 이런 뉘앙스의 답장메일 쓰나요?이런 답장도 교수님 입장에선 귀찮으실까요,이거 완전 궁금했는데...
제바류,긱사?
공홈에서 기기만 살려하는데 기기가 자급젠지 아닌지 모르겠어 아는 사람?,당연
까마귀 왜이렇게 많음?,999
걸어가야하냐....?,그럼 차타고 가게..?
2트야...,삭제된 댓글입니다.
신입생이라 잘 모르겠숴요,서로 손 뻗어서 중간지점에서 받고 줬는데 아님 걸어가서 전해주던가
뒷부분에 직교기저 그램슈미트 분해 나오는거 나만 좀 어려웠나? 그거 이후로 선대  행렬만 봐도 ptsd올거 같은데.,저 지금 배우고있는데 그러시면 겁나요 선배님......
"홈페이지/온라인몰 수정, 보완포토샾/파워포인트/영상편집 가능하신 분찾고 있습니다.컴퓨터공학부에서 찾아야 할까요?",시디
담주 한국사 줌링크 올라왔는데 이거 비대면 기대해도 되나? 아님 줌할때 말씀하시려나,ㅂㅂ
시험 오픈북 아니죠...?,넴……
"나가고 싶은데 혹시 팀원 구하는데 있나,,,,?",저 구하고 있는데...
다 라켓 샀어요?,난 빌렸어
토론대회 참가신청만 할 분 있나요?? 주말동안 후루룩 써서 신청해버리게,삭제된 댓글입니다.
실험 1주차과제 뭐해야하는거에요? 알려주시면 소정의 감사선물을 드릴께요..,그교수님 진짜 좋은데
빡치면 술이랑 담배펴야하는데 긱사생활 각이라 ㅠㅠ,내가 지금 기숙산데 없어서 못먹는중..
혹시 이거 실내로 돌려놓으면 되나요?1시간째 온도가 안올라요..온돌도 있던데 이걸로 해야하나요..,저 실내로 해놓고 써용
시험보는데 키보드 타닥소리랑 마우스딸깍소리가 계속 들리길레다른사람 소리인줄 알았는데 내소리였음,무소음으로 바꿔
